OTU ID,A_1,E_1,A_3,C_1,B_1,E_3,F_3,E_2,C_3,C_2,D_3,B_3,B_2,D_1,D_2,F_2,A_2,F_1
OTU2361,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU7772,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
OTU10054,0,1,0,9,1,1,0,0,0,1,0,1,2,0,0,0,0,1
OTU4043,0,1,10,3,8,4,4,3,2,3,13,12,2,6,7,5,14,5
OTU8225,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU11297,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
OTU3795,0,1,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0
OTU427,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
OTU12141,0,0,0,0,0,1,0,1,0,0,0,5,2,0,0,0,2,0
OTU7568,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU10780,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
OTU14275,1,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,3
OTU14759,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
OTU12477,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,2
OTU14699,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0,2
OTU5873,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU4233,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
OTU11521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OTU15272,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
OTU6095,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0
OTU6094,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
OTU1426,0,2,3,0,0,3,0,1,0,3,1,0,0,1,0,0,7,1
OTU2244,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU9260,4,12,5,6,24,3,7,6,13,10,9,12,8,12,4,5,2,5
OTU9061,1,4,3,8,5,0,4,6,0,6,1,3,4,3,5,4,3,2
OTU323,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU326,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10471,5,4,3,1,1,1,0,0,3,5,1,0,3,0,0,0,8,0
OTU4067,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0
OTU6864,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
OTU3174,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
OTU1741,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU5294,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
OTU8901,5,6,1,19,2,2,5,1,5,6,0,0,1,0,0,1,2,2
OTU4571,0,2,0,3,0,3,0,1,1,0,0,0,0,0,0,0,0,0
OTU3632,0,0,2,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0
OTU12780,0,1,1,4,0,0,0,1,0,3,0,0,0,0,0,0,1,0
OTU5929,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU13367,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
OTU11030,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
OTU14521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
OTU10397,0,6,6,0,1,2,1,4,0,0,3,3,3,1,0,0,1,2
OTU5784,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
OTU3012,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
OTU7872,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OTU13684,0,0,0,2,0,1,0,0,2,1,0,0,0,0,0,0,0,0
OTU5994,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
OTU11107,0,2,0,0,0,0,0,0,1,0,1,3,1,0,0,0,0,0
OTU6116,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU10423,0,4,1,4,1,9,5,3,7,4,4,0,6,4,3,6,2,3
OTU9526,0,2,0,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0
OTU10038,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU6891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
OTU13332,1,2,0,0,0,2,0,0,0,0,1,0,0,2,0,0,1,2
OTU11087,3,0,0,0,0,2,0,0,0,0,0,0,1,0,0,3,0,0
OTU165,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU2299,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0
OTU1044,0,1,4,3,3,3,3,0,0,1,1,3,1,0,1,3,1,1
OTU13388,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0
OTU12763,0,0,0,0,0,1,5,7,1,1,0,2,0,0,0,0,4,1
OTU12193,1,0,0,0,1,3,0,5,0,0,1,6,0,3,4,0,2,2
OTU458,3,0,1,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0
OTU8194,0,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0
OTU12885,1,2,1,0,3,1,3,1,0,1,0,2,1,0,3,3,1,4
OTU3640,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
